geo_name,geo_id,race,share
USA,NA,AAPI,0.06
USA,NA,Black,0.12
USA,NA,Hispanic,0.18
USA,NA,White,0.61
Alabama,1,AAPI,0.01
Alabama,1,Black,0.26
Alabama,1,Hispanic,0.04
Alabama,1,White,0.66
Alaska,2,AAPI,0.07
Alaska,2,Black,0.03
Alaska,2,Hispanic,0.07
Alaska,2,White,0.61
Arizona,4,AAPI,0.03
Arizona,4,Black,0.04
Arizona,4,Hispanic,0.31
Arizona,4,White,0.55
Arkansas,5,AAPI,0.02
Arkansas,5,Black,0.15
Arkansas,5,Hispanic,0.07
Arkansas,5,White,0.72
California,6,AAPI,0.15
California,6,Black,0.06
California,6,Hispanic,0.39
California,6,White,0.37
Colorado,8,AAPI,0.03
Colorado,8,Black,0.04
Colorado,8,Hispanic,0.22
Colorado,8,White,0.68
Connecticut,9,AAPI,0.04
Connecticut,9,Black,0.1
Connecticut,9,Hispanic,0.16
Connecticut,9,White,0.67
Delaware,10,AAPI,0.04
Delaware,10,Black,0.22
Delaware,10,Hispanic,0.09
Delaware,10,White,0.62
District of Columbia,11,AAPI,0.04
District of Columbia,11,Black,0.45
District of Columbia,11,Hispanic,0.11
District of Columbia,11,White,0.37
Florida,12,AAPI,0.03
Florida,12,Black,0.15
Florida,12,Hispanic,0.26
Florida,12,White,0.54
Georgia,13,AAPI,0.04
Georgia,13,Black,0.31
Georgia,13,Hispanic,0.1
Georgia,13,White,0.53
Hawaii,15,AAPI,0.46
Hawaii,15,Black,0.02
Hawaii,15,Hispanic,0.1
Hawaii,15,White,0.22
Idaho,16,AAPI,0.01
Idaho,16,Black,0.01
Idaho,16,Hispanic,0.13
Idaho,16,White,0.82
Illinois,17,AAPI,0.05
Illinois,17,Black,0.14
Illinois,17,Hispanic,0.17
Illinois,17,White,0.61
Indiana,18,AAPI,0.02
Indiana,18,Black,0.09
Indiana,18,Hispanic,0.07
Indiana,18,White,0.79
Iowa,19,AAPI,0.03
Iowa,19,Black,0.04
Iowa,19,Hispanic,0.06
Iowa,19,White,0.86
Kansas,20,AAPI,0.03
Kansas,20,Black,0.06
Kansas,20,Hispanic,0.12
Kansas,20,White,0.76
Kentucky,21,AAPI,0.02
