geo_name,geo_id,race,share
Kentucky,21,Black,0.08
Kentucky,21,Hispanic,0.04
Kentucky,21,White,0.85
Louisiana,22,AAPI,0.02
Louisiana,22,Black,0.32
Louisiana,22,Hispanic,0.05
Louisiana,22,White,0.59
Maine,23,AAPI,0.01
Maine,23,Black,0.01
Maine,23,Hispanic,0.02
Maine,23,White,0.93
Maryland,24,AAPI,0.06
Maryland,24,Black,0.29
Maryland,24,Hispanic,0.1
Maryland,24,White,0.51
Massachusetts,25,AAPI,0.07
Massachusetts,25,Black,0.07
Massachusetts,25,Hispanic,0.12
Massachusetts,25,White,0.72
Michigan,26,AAPI,0.03
Michigan,26,Black,0.14
Michigan,26,Hispanic,0.05
Michigan,26,White,0.75
Minnesota,27,AAPI,0.05
Minnesota,27,Black,0.06
Minnesota,27,Hispanic,0.05
Minnesota,27,White,0.8
Mississippi,28,AAPI,0.01
Mississippi,28,Black,0.38
Mississippi,28,Hispanic,0.03
Mississippi,28,White,0.57
Missouri,29,AAPI,0.02
Missouri,29,Black,0.11
Missouri,29,Hispanic,0.04
Missouri,29,White,0.79
Montana,30,AAPI,0.01
Montana,30,Black,0
Montana,30,Hispanic,0.04
Montana,30,White,0.86
Nebraska,31,AAPI,0.02
Nebraska,31,Black,0.05
Nebraska,31,Hispanic,0.11
Nebraska,31,White,0.79
Nevada,32,AAPI,0.09
Nevada,32,Black,0.09
Nevada,32,Hispanic,0.29
Nevada,32,White,0.49
New Hampshire,33,AAPI,0.03
New Hampshire,33,Black,0.01
New Hampshire,33,Hispanic,0.04
New Hampshire,33,White,0.9
New Jersey,34,AAPI,0.09
New Jersey,34,Black,0.13
New Jersey,34,Hispanic,0.2
New Jersey,34,White,0.55
New Mexico,35,AAPI,0.02
New Mexico,35,Black,0.02
New Mexico,35,Hispanic,0.49
New Mexico,35,White,0.37
New York,36,AAPI,0.08
New York,36,Black,0.14
New York,36,Hispanic,0.19
New York,36,White,0.56
North Carolina,37,AAPI,0.03
North Carolina,37,Black,0.21
North Carolina,37,Hispanic,0.09
North Carolina,37,White,0.63
North Dakota,38,AAPI,0.02
North Dakota,38,Black,0.03
North Dakota,38,Hispanic,0.04
North Dakota,38,White,0.84
Ohio,39,AAPI,0.02
Ohio,39,Black,0.12
Ohio,39,Hispanic,0.04
Ohio,39,White,0.79
Oklahoma,40,AAPI,0.02
Oklahoma,40,Black,0.07
Oklahoma,40,Hispanic,0.11
Oklahoma,40,White,0.66
Oregon,41,AAPI,0.05
Oregon,41,Black,0.02
Oregon,41,Hispanic,0.13
Oregon,41,White,0.76
Pennsylvania,42,AAPI,0.03
Pennsylvania,42,Black,0.11
Pennsylvania,42,Hispanic,0.07
Pennsylvania,42,White,0.76
Rhode Island,44,AAPI,0.03
Rhode Island,44,Black,0.06
Rhode Island,44,Hispanic,0.15
Rhode Island,44,White,0.72
South Carolina,45,AAPI,0.02
South Carolina,45,Black,0.27
South Carolina,45,Hispanic,0.06
South Carolina,45,White,0.64
South Dakota,46,AAPI,0.01
South Dakota,46,Black,0.02
South Dakota,46,Hispanic,0.04
South Dakota,46,White,0.82
Tennessee,47,AAPI,0.02
Tennessee,47,Black,0.17
Tennessee,47,Hispanic,0.05
Tennessee,47,White,0.74
Texas,48,AAPI,0.05
Texas,48,Black,0.12
Texas,48,Hispanic,0.39
Texas,48,White,0.42
Utah,49,AAPI,0.03
Utah,49,Black,0.01
Utah,49,Hispanic,0.14
Utah,49,White,0.78
Vermont,50,AAPI,0.02
Vermont,50,Black,0.01
Vermont,50,Hispanic,0.02
Vermont,50,White,0.93
Virginia,51,AAPI,0.06
Virginia,51,Black,0.19
Virginia,51,Hispanic,0.09
Virginia,51,White,0.62
Washington,53,AAPI,0.09
Washington,53,Black,0.04
Washington,53,Hispanic,0.13
Washington,53,White,0.69
West Virginia,54,AAPI,0.01
West Virginia,54,Black,0.04
West Virginia,54,Hispanic,0.02
West Virginia,54,White,0.92
Wisconsin,55,AAPI,0.03
Wisconsin,55,Black,0.06
Wisconsin,55,Hispanic,0.07
Wisconsin,55,White,0.81
Wyoming,56,AAPI,0.01
Wyoming,56,Black,0.01
Wyoming,56,Hispanic,0.1
Wyoming,56,White,0.84
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,AAPI,0.01
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,Black,0.11
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,Hispanic,0.05
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,White,0.82
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,AAPI,0.03
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,Black,0.17
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,Hispanic,0.04
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,White,0.74
Huntsville (North) & Madison (East) Cities,100301,AAPI,0.04
Huntsville (North) & Madison (East) Cities,100301,Black,0.35
Huntsville (North) & Madison (East) Cities,100301,Hispanic,0.05
Huntsville (North) & Madison (East) Cities,100301,White,0.52
Huntsville City (Central & South),100302,AAPI,0.03
Huntsville City (Central & South),100302,Black,0.2
Huntsville City (Central & South),100302,Hispanic,0.07
Huntsville City (Central & South),100302,White,0.68
DeKalb & Jackson Counties,100400,AAPI,0.02
DeKalb & Jackson Counties,100400,Black,0.02
DeKalb & Jackson Counties,100400,Hispanic,0.1
DeKalb & Jackson Counties,100400,White,0.84
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,AAPI,0.02
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,Black,0.03
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,Hispanic,0.11
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,White,0.83
Morgan & Lawrence Counties--Decatur City,100600,AAPI,0.02
Morgan & Lawrence Counties--Decatur City,100600,Black,0.12
Morgan & Lawrence Counties--Decatur City,100600,Hispanic,0.07
Morgan & Lawrence Counties--Decatur City,100600,White,0.76
Cullman & Winston Counties,100700,AAPI,0.01
Cullman & Winston Counties,100700,Black,0.01
Cullman & Winston Counties,100700,Hispanic,0.04
Cullman & Winston Counties,100700,White,0.92
St. Clair & Blount Counties,100800,AAPI,0.01
St. Clair & Blount Counties,100800,Black,0.06
St. Clair & Blount Counties,100800,Hispanic,0.05
St. Clair & Blount Counties,100800,White,0.86
Etowah County,100900,AAPI,0.01
Etowah County,100900,Black,0.15
Etowah County,100900,Hispanic,0.04
Etowah County,100900,White,0.78
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101000,AAPI,0.01
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101000,Black,0.22
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101000,Hispanic,0.02
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101000,White,0.74
Calhoun County,101100,AAPI,0.01
Calhoun County,101100,Black,0.21
Calhoun County,101100,Hispanic,0.04
Calhoun County,101100,White,0.72
Shelby County,101200,AAPI,0.02
Shelby County,101200,Black,0.12
Shelby County,101200,Hispanic,0.06
Shelby County,101200,White,0.78
Birmingham City (West),101301,AAPI,0
Birmingham City (West),101301,Black,0.89
Birmingham City (West),101301,Hispanic,0.04
Birmingham City (West),101301,White,0.05
Birmingham City (East),101302,AAPI,0.02
Birmingham City (East),101302,Black,0.56
Birmingham City (East),101302,Hispanic,0.05
Birmingham City (East),101302,White,0.36
"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",101303,AAPI,0.04
"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",101303,Black,0.16
"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",101303,Hispanic,0.05
"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",101303,White,0.73
"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",101304,AAPI,0.01
"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",101304,Black,0.36
"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",101304,Hispanic,0.03
"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",101304,White,0.58
"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",101305,AAPI,0.01
"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",101305,Black,0.44
"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",101305,Hispanic,0.02
"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",101305,White,0.51
"Walker, Marion (South & West), Fayette & Lamar Counties",101400,AAPI,0.01
"Walker, Marion (South & West), Fayette & Lamar Counties",101400,Black,0.07
"Walker, Marion (South & West), Fayette & Lamar Counties",101400,Hispanic,0.02
"Walker, Marion (South & West), Fayette & Lamar Counties",101400,White,0.88
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101500,AAPI,0.01
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101500,Black,0.21
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101500,Hispanic,0.03
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101500,White,0.74
Tuscaloosa & Northport (Southeast) Cities,101600,AAPI,0.02
Tuscaloosa & Northport (Southeast) Cities,101600,Black,0.43
Tuscaloosa & Northport (Southeast) Cities,101600,Hispanic,0.05
Tuscaloosa & Northport (Southeast) Cities,101600,White,0.48
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101700,AAPI,0.01
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101700,Black,0.59
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101700,Hispanic,0.01
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101700,White,0.39
"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,AAPI,0.01
"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,Black,0.25
"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,Hispanic,0.04
"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,White,0.69
Lee County--Auburn City,101900,AAPI,0.04
Lee County--Auburn City,101900,Black,0.23
Lee County--Auburn City,101900,Hispanic,0.04
Lee County--Auburn City,101900,White,0.67
Montgomery City & Pike Road Town (North),102000,AAPI,0.03
Montgomery City & Pike Road Town (North),102000,Black,0.6
Montgomery City & Pike Road Town (North),102000,Hispanic,0.03
Montgomery City & Pike Road Town (North),102000,White,0.32
"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,AAPI,0.01
"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,Black,0.28
"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,Hispanic,0.03
"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,White,0.66
Southwest Alabama,102200,AAPI,0.03
Southwest Alabama,102200,Black,0.4
Southwest Alabama,102200,Hispanic,0.01
Southwest Alabama,102200,White,0.55
"Coffee, Covington, Butler & Crenshaw Counties",102300,AAPI,0.02
"Coffee, Covington, Butler & Crenshaw Counties",102300,Black,0.21
"Coffee, Covington, Butler & Crenshaw Counties",102300,Hispanic,0.04
"Coffee, Covington, Butler & Crenshaw Counties",102300,White,0.71
"Russell, Pike, Barbour, Macon & Bullock Counties",102400,AAPI,0.01
"Russell, Pike, Barbour, Macon & Bullock Counties",102400,Black,0.5
"Russell, Pike, Barbour, Macon & Bullock Counties",102400,Hispanic,0.04
"Russell, Pike, Barbour, Macon & Bullock Counties",102400,White,0.43
"Houston, Dale, Geneva & Henry Counties--Dothan City",102500,AAPI,0.01
"Houston, Dale, Geneva & Henry Counties--Dothan City",102500,Black,0.23
"Houston, Dale, Geneva & Henry Counties--Dothan City",102500,Hispanic,0.04
"Houston, Dale, Geneva & Henry Counties--Dothan City",102500,White,0.7
Baldwin County,102600,AAPI,0.02
Baldwin County,102600,Black,0.09
Baldwin County,102600,Hispanic,0.05
Baldwin County,102600,White,0.83
Mobile City (East),102701,AAPI,0.01
Mobile City (East),102701,Black,0.67
Mobile City (East),102701,Hispanic,0.01
Mobile City (East),102701,White,0.29
Mobile City (West),102702,AAPI,0.03
Mobile City (West),102702,Black,0.39
Mobile City (West),102702,Hispanic,0.03
Mobile City (West),102702,White,0.52
"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102703,AAPI,0.03
"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102703,Black,0.17
"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102703,Hispanic,0.03
"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102703,White,0.74
Anchorage Municipality (North),200101,AAPI,0.19
Anchorage Municipality (North),200101,Black,0.07
Anchorage Municipality (North),200101,Hispanic,0.1
Anchorage Municipality (North),200101,White,0.56
Anchorage Municipality (South),200102,AAPI,0.19
Anchorage Municipality (South),200102,Black,0.04
Anchorage Municipality (South),200102,Hispanic,0.09
Anchorage Municipality (South),200102,White,0.6
Matanuska-Susitna & Kenai Peninsula Boroughs,200200,AAPI,0.08
Matanuska-Susitna & Kenai Peninsula Boroughs,200200,Black,0.01
Matanuska-Susitna & Kenai Peninsula Boroughs,200200,Hispanic,0.05
Matanuska-Susitna & Kenai Peninsula Boroughs,200200,White,0.79
"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,AAPI,0.14
"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,Black,0.03
"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,Hispanic,0.07
"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,White,0.69
Subsistence Alaska,200400,AAPI,0.6
Subsistence Alaska,200400,Black,0.01
Subsistence Alaska,200400,Hispanic,0.05
Subsistence Alaska,200400,White,0.28
Maricopa County--Gilbert (South) & Queen Creek Towns,400100,AAPI,0.06
Maricopa County--Gilbert (South) & Queen Creek Towns,400100,Black,0.04
Maricopa County--Gilbert (South) & Queen Creek Towns,400100,Hispanic,0.16
Maricopa County--Gilbert (South) & Queen Creek Towns,400100,White,0.71
Maricopa County--Mesa City (East),400101,AAPI,0.04
Maricopa County--Mesa City (East),400101,Black,0.03
Maricopa County--Mesa City (East),400101,Hispanic,0.18
Maricopa County--Mesa City (East),400101,White,0.74
Maricopa County--Mesa City (North Central),400102,AAPI,0.05
Maricopa County--Mesa City (North Central),400102,Black,0.04
Maricopa County--Mesa City (North Central),400102,Hispanic,0.23
Maricopa County--Mesa City (North Central),400102,White,0.66
Maricopa County--Mesa City (West),400103,AAPI,0.07
Maricopa County--Mesa City (West),400103,Black,0.06
Maricopa County--Mesa City (West),400103,Hispanic,0.44
Maricopa County--Mesa City (West),400103,White,0.42
Maricopa County--Mesa City (South Central),400104,AAPI,0.03
Maricopa County--Mesa City (South Central),400104,Black,0.04
Maricopa County--Mesa City (South Central),400104,Hispanic,0.3
Maricopa County--Mesa City (South Central),400104,White,0.62
Maricopa County--Gilbert Town (North),400105,AAPI,0.06
Maricopa County--Gilbert Town (North),400105,Black,0.03
Maricopa County--Gilbert Town (North),400105,Hispanic,0.18
Maricopa County--Gilbert Town (North),400105,White,0.69
Maricopa County--Chandler City (Northeast),400106,AAPI,0.09
Maricopa County--Chandler City (Northeast),400106,Black,0.06
Maricopa County--Chandler City (Northeast),400106,Hispanic,0.28
Maricopa County--Chandler City (Northeast),400106,White,0.53
Maricopa County--Chandler City (South),400107,AAPI,0.13
Maricopa County--Chandler City (South),400107,Black,0.04
Maricopa County--Chandler City (South),400107,Hispanic,0.12
Maricopa County--Chandler City (South),400107,White,0.68
Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400108,AAPI,0.12
Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400108,Black,0.06
Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400108,Hispanic,0.23
Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400108,White,0.56
Maricopa County--Tempe City (North),400109,AAPI,0.11
Maricopa County--Tempe City (North),400109,Black,0.06
Maricopa County--Tempe City (North),400109,Hispanic,0.23
Maricopa County--Tempe City (North),400109,White,0.56
Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400110,AAPI,0.04
Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400110,Black,0.02
Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400110,Hispanic,0.14
Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400110,White,0.77
Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400111,AAPI,0.11
Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400111,Black,0.01
Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400111,Hispanic,0.07
Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400111,White,0.8
"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400112,AAPI,0.05
"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400112,Black,0.01
"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400112,Hispanic,0.06
"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400112,White,0.85
Phoenix City (Northeast),400113,AAPI,0.08
Phoenix City (Northeast),400113,Black,0.02
Phoenix City (Northeast),400113,Hispanic,0.12
Phoenix City (Northeast),400113,White,0.75
Phoenix City (Northeast Central),400114,AAPI,0.04
Phoenix City (Northeast Central),400114,Black,0.03
Phoenix City (Northeast Central),400114,Hispanic,0.28
Phoenix City (Northeast Central),400114,White,0.62
Phoenix City (Northwest Central),400115,AAPI,0.06
Phoenix City (Northwest Central),400115,Black,0.05
Phoenix City (Northwest Central),400115,Hispanic,0.29
Phoenix City (Northwest Central),400115,White,0.56
Phoenix City (Uptown),400116,AAPI,0.07
Phoenix City (Uptown),400116,Black,0.09
Phoenix City (Uptown),400116,Hispanic,0.34
Phoenix City (Uptown),400116,White,0.47
Phoenix City (East),400117,AAPI,0.04
Phoenix City (East),400117,Black,0.05
Phoenix City (East),400117,Hispanic,0.36
Phoenix City (East),400117,White,0.52
Phoenix City--Downtown & Sky Harbor International Airport,400118,AAPI,0.06
Phoenix City--Downtown & Sky Harbor International Airport,400118,Black,0.1
Phoenix City--Downtown & Sky Harbor International Airport,400118,Hispanic,0.49
Phoenix City--Downtown & Sky Harbor International Airport,400118,White,0.33
Phoenix City (South),400119,AAPI,0.04
Phoenix City (South),400119,Black,0.16
Phoenix City (South),400119,Hispanic,0.62
Phoenix City (South),400119,White,0.15
Phoenix City--Ahwatukee & South Mountain,400120,AAPI,0.08
Phoenix City--Ahwatukee & South Mountain,400120,Black,0.08
Phoenix City--Ahwatukee & South Mountain,400120,Hispanic,0.24
Phoenix City--Ahwatukee & South Mountain,400120,White,0.56
Phoenix (Southwest) & Tolleson Cities,400121,AAPI,0.04
Phoenix (Southwest) & Tolleson Cities,400121,Black,0.1
Phoenix (Southwest) & Tolleson Cities,400121,Hispanic,0.67
Phoenix (Southwest) & Tolleson Cities,400121,White,0.16
Phoenix City--Maryvale (East),400122,AAPI,0.03
Phoenix City--Maryvale (East),400122,Black,0.05
Phoenix City--Maryvale (East),400122,Hispanic,0.8
Phoenix City--Maryvale (East),400122,White,0.1
Phoenix City--Maryvale (West),400123,AAPI,0.03
Phoenix City--Maryvale (West),400123,Black,0.06
Phoenix City--Maryvale (West),400123,Hispanic,0.77
Phoenix City--Maryvale (West),400123,White,0.12
Maricopa County--Glendale City (South),400124,AAPI,0.05
Maricopa County--Glendale City (South),400124,Black,0.08
Maricopa County--Glendale City (South),400124,Hispanic,0.57
Maricopa County--Glendale City (South),400124,White,0.27
Phoenix City (West),400125,AAPI,0.06
Phoenix City (West),400125,Black,0.06
Phoenix City (West),400125,Hispanic,0.45
Phoenix City (West),400125,White,0.41
Maricopa County--Glendale City (North),400126,AAPI,0.06
Maricopa County--Glendale City (North),400126,Black,0.04
Maricopa County--Glendale City (North),400126,Hispanic,0.21
Maricopa County--Glendale City (North),400126,White,0.66
Maricopa County--Peoria City (South & Central),400127,AAPI,0.05
Maricopa County--Peoria City (South & Central),400127,Black,0.03
Maricopa County--Peoria City (South & Central),400127,Hispanic,0.26
Maricopa County--Peoria City (South & Central),400127,White,0.64
Phoenix City (North),400128,AAPI,0.07
Phoenix City (North),400128,Black,0.02
Phoenix City (North),400128,Hispanic,0.17
Phoenix City (North),400128,White,0.7
Phoenix (Far North) & Peoria (Northwest) Cities,400129,AAPI,0.07
Phoenix (Far North) & Peoria (Northwest) Cities,400129,Black,0.03
Phoenix (Far North) & Peoria (Northwest) Cities,400129,Hispanic,0.11
Phoenix (Far North) & Peoria (Northwest) Cities,400129,White,0.76
Maricopa County--El Mirage City & Sun City,400130,AAPI,0.02
Maricopa County--El Mirage City & Sun City,400130,Black,0.04
Maricopa County--El Mirage City & Sun City,400130,Hispanic,0.21
Maricopa County--El Mirage City & Sun City,400130,White,0.72
Maricopa County--Surprise City (Central),400131,AAPI,0.03
Maricopa County--Surprise City (Central),400131,Black,0.06
Maricopa County--Surprise City (Central),400131,Hispanic,0.18
Maricopa County--Surprise City (Central),400131,White,0.7
"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400132,AAPI,0.05
"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400132,Black,0.07
"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400132,Hispanic,0.29
"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400132,White,0.55
Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400133,AAPI,0.05
Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400133,Black,0.09
Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400133,Hispanic,0.51
Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400133,White,0.33
Maricopa County (West) & Gila River Indian Community (Northwest),400134,AAPI,0.06
Maricopa County (West) & Gila River Indian Community (Northwest),400134,Black,0.05
Maricopa County (West) & Gila River Indian Community (Northwest),400134,Hispanic,0.3
Maricopa County (West) & Gila River Indian Community (Northwest),400134,White,0.57
Pima County (West),400201,AAPI,0.13
Pima County (West),400201,Black,0.01
Pima County (West),400201,Hispanic,0.55
Pima County (West),400201,White,0.3
Tucson (West) & Marana Cities,400202,AAPI,0.04
Tucson (West) & Marana Cities,400202,Black,0.02
Tucson (West) & Marana Cities,400202,Hispanic,0.42
Tucson (West) & Marana Cities,400202,White,0.49
Pima County (North Central)--Oro Valley Town,400203,AAPI,0.03
Pima County (North Central)--Oro Valley Town,400203,Black,0.02
Pima County (North Central)--Oro Valley Town,400203,Hispanic,0.23
Pima County (North Central)--Oro Valley Town,400203,White,0.69
Pima County (Northeast),400204,AAPI,0.06
Pima County (Northeast),400204,Black,0.01
Pima County (Northeast),400204,Hispanic,0.15
Pima County (Northeast),400204,White,0.75
Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400205,AAPI,0.02
Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400205,Black,0.04
Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400205,Hispanic,0.29
Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400205,White,0.62
Tucson City (Northeast),400206,AAPI,0.04
Tucson City (Northeast),400206,Black,0.05
Tucson City (Northeast),400206,Hispanic,0.25
Tucson City (Northeast),400206,White,0.63
Tucson City (Northwest),400207,AAPI,0.07
Tucson City (Northwest),400207,Black,0.04
Tucson City (Northwest),400207,Hispanic,0.34
Tucson City (Northwest),400207,White,0.52
Tucson City (South),400208,AAPI,0.05
Tucson City (South),400208,Black,0.03
Tucson City (South),400208,Hispanic,0.79
Tucson City (South),400208,White,0.12
Tucson City (Southeast),400209,AAPI,0.05
Tucson City (Southeast),400209,Black,0.06
Tucson City (Southeast),400209,Hispanic,0.34
Tucson City (Southeast),400209,White,0.51
Navajo & Apache Counties,400300,AAPI,0.56
Navajo & Apache Counties,400300,Black,0.01
Navajo & Apache Counties,400300,Hispanic,0.09
Navajo & Apache Counties,400300,White,0.32
Coconino County--Flagstaff City,400400,AAPI,0.28
Coconino County--Flagstaff City,400400,Black,0.01
Coconino County--Flagstaff City,400400,Hispanic,0.14
Coconino County--Flagstaff City,400400,White,0.54
Yavapai County,400500,AAPI,0.02
Yavapai County,400500,Black,0.01
Yavapai County,400500,Hispanic,0.15
Yavapai County,400500,White,0.8
Mohave & La Paz Counties--Lake Havasu City,400600,AAPI,0.04
Mohave & La Paz Counties--Lake Havasu City,400600,Black,0.01
Mohave & La Paz Counties--Lake Havasu City,400600,Hispanic,0.17
Mohave & La Paz Counties--Lake Havasu City,400600,White,0.75
Yuma County--Yuma City,400700,AAPI,0.02
Yuma County--Yuma City,400700,Black,0.02
Yuma County--Yuma City,400700,Hispanic,0.64
Yuma County--Yuma City,400700,White,0.31
"Gila, Graham, Greenlee & Pinal (East) Counties",400800,AAPI,0.13
"Gila, Graham, Greenlee & Pinal (East) Counties",400800,Black,0.01
"Gila, Graham, Greenlee & Pinal (East) Counties",400800,Hispanic,0.3
"Gila, Graham, Greenlee & Pinal (East) Counties",400800,White,0.54
Pinal County (North)--Apache Junction City,400803,AAPI,0.03
