zipcode,state_name,num_pumas
10001,New York,1
10002,New York,1
10003,New York,1
10004,New York,1
10005,New York,1
10006,New York,1
10007,New York,1
10008,New York,1
10009,New York,1
1001,Massachusetts,1
10010,New York,1
10011,New York,1
10012,New York,1
10013,New York,1
10014,New York,1
10016,New York,1
10017,New York,1
10018,New York,1
10019,New York,1
1002,Massachusetts,1
10021,New York,1
10022,New York,1
10023,New York,1
10024,New York,1
10025,New York,1
10026,New York,1
10027,New York,1
10028,New York,1
10029,New York,1
1003,Massachusetts,1
10030,New York,1
10031,New York,1
10032,New York,1
10033,New York,1
10034,New York,1
10035,New York,1
10036,New York,1
10037,New York,1
10038,New York,1
10039,New York,1
1004,Massachusetts,1
10040,New York,1
10041,New York,1
10043,New York,1
10044,New York,1
10045,New York,1
1005,Massachusetts,1
10055,New York,1
10060,New York,1
10065,New York,1
10069,New York,1
1007,Massachusetts,1
10075,New York,1
1008,Massachusetts,1
10080,New York,1
10081,New York,1
10087,New York,1
1009,Massachusetts,1
10090,New York,1
1010,Massachusetts,1
10101,New York,1
10102,New York,1
10103,New York,1
10104,New York,1
10105,New York,1
10106,New York,1
10107,New York,1
10108,New York,1
10109,New York,1
1011,Massachusetts,1
10113,New York,1
10114,New York,1
10116,New York,1
10117,New York,1
10118,New York,1
10119,New York,1
1012,Massachusetts,1
10120,New York,1
10121,New York,1
10122,New York,1
10123,New York,1
10125,New York,1
10126,New York,1
10128,New York,1
10129,New York,1
1013,Massachusetts,1
10130,New York,1
10131,New York,1
10132,New York,1
10133,New York,1
10138,New York,1
1014,Massachusetts,1
10150,New York,1
10151,New York,1
10155,New York,1
10156,New York,1
10157,New York,1
10158,New York,1
10159,New York,1
10160,New York,1
10162,New York,1
10163,New York,1
10164,New York,1
10165,New York,1
10166,New York,1
10170,New York,1
10173,New York,1
10175,New York,1
10176,New York,1
10178,New York,1
10179,New York,1
10185,New York,1
10199,New York,1
1020,Massachusetts,1
10203,New York,1
1021,Massachusetts,1
10211,New York,1
10212,New York,1
10213,New York,1
1022,Massachusetts,1
10242,New York,1
10249,New York,1
10256,New York,1
10259,New York,1
1026,Massachusetts,1
10260,New York,1
10261,New York,1
10265,New York,1
10268,New York,1
10269,New York,1
1027,Massachusetts,1
10270,New York,1
10272,New York,1
10273,New York,1
10274,New York,1
10275,New York,1
10276,New York,1
1028,Massachusetts,1
10280,New York,1
10281,New York,1
10282,New York,1
10285,New York,1
10286,New York,1
1029,Massachusetts,1
1030,Massachusetts,1
10301,New York,1
10302,New York,1
10303,New York,1
10304,New York,1
10305,New York,1
10306,New York,1
10307,New York,1
10308,New York,1
10309,New York,1
1031,Massachusetts,1
10310,New York,1
10312,New York,1
10313,New York,1
10314,New York,1
1032,Massachusetts,1
1033,Massachusetts,1
1034,Massachusetts,1
1035,Massachusetts,1
1036,Massachusetts,1
1037,Massachusetts,1
1038,Massachusetts,1
1039,Massachusetts,1
1040,Massachusetts,1
1041,Massachusetts,1
10451,New York,1
10452,New York,1
10453,New York,1
10454,New York,1
10455,New York,1
10456,New York,1
10457,New York,1
10458,New York,1
10459,New York,1
10460,New York,1
10461,New York,1
10462,New York,1
10463,New York,1
10464,New York,1
10465,New York,1
10466,New York,1
10467,New York,1
10468,New York,1
10469,New York,1
10470,New York,1
10471,New York,1
10472,New York,1
10473,New York,1
10474,New York,1
10475,New York,1
1050,Massachusetts,1
10501,New York,1
10502,New York,1
10503,New York,1
10504,New York,1
10505,New York,1
10506,New York,1
10507,New York,1
10509,New York,1
10510,New York,1
10511,New York,1
10512,New York,1
10514,New York,1
10516,New York,1
10517,New York,1
10518,New York,1
10519,New York,1
10520,New York,1
10521,New York,1
10522,New York,1
10523,New York,1
10524,New York,1
10526,New York,1
10527,New York,1
10528,New York,1
1053,Massachusetts,1
10530,New York,1
10532,New York,1
10533,New York,1
10535,New York,1
10536,New York,1
10537,New York,1
10538,New York,1
1054,Massachusetts,1
10540,New York,1
10541,New York,1
10542,New York,1
10543,New York,1
10545,New York,1
10546,New York,1
10547,New York,1
10548,New York,1
10549,New York,1
10550,New York,1
10551,New York,1
10552,New York,1
10553,New York,1
1056,Massachusetts,1
10560,New York,1
10562,New York,1
10566,New York,1
10567,New York,1
1057,Massachusetts,1
10570,New York,1
10573,New York,1
10576,New York,1
10577,New York,1
10578,New York,1
10579,New York,1
10580,New York,1
10583,New York,1
10587,New York,1
10588,New York,1
10589,New York,1
1059,Massachusetts,1
10590,New York,1
10591,New York,1
10594,New York,1
10595,New York,1
10596,New York,1
10597,New York,1
10598,New York,1
1060,Massachusetts,1
10601,New York,1
10602,New York,1
10603,New York,1
10604,New York,1
10605,New York,1
10606,New York,1
10607,New York,1
1061,Massachusetts,1
10610,New York,1
1062,Massachusetts,1
1063,Massachusetts,1
1066,Massachusetts,1
1068,Massachusetts,1
1069,Massachusetts,1
1070,Massachusetts,1
10701,New York,1
10702,New York,1
10703,New York,1
10704,New York,1
10705,New York,1
10706,New York,1
