id,label,geo_level,has_bonus_info
1268350,"Spring Hill, FL",City,0
1269700,"Sunrise, FL",City,0
1270600,"Tallahassee, FL",City,0
1271000,"Tampa, FL*",City,1
1272145,"Town 'n' Country, FL",City,0
1276600,"West Palm Beach, FL",City,0
1301052,"Albany, GA",City,0
1303440,"Athens-Clarke County, GA",City,0
1304000,"Atlanta, GA*",City,1
1304204,"Augusta-Richmond County, GA",City,0
1319000,"Columbus, GA",City,0
1342425,"Johns Creek, GA",City,0
1367284,"Roswell, GA",City,0
1368516,"Sandy Springs, GA",City,0
1369000,"Savannah, GA",City,0
1571550,"Honolulu, HI*",City,1
1608830,"Boise, ID*",City,1
1652120,"Meridian, ID",City,0
1656260,"Nampa, ID",City,0
1702154,"Arlington Heights, IL",City,0
1703012,"Aurora, IL",City,0
1706613,"Bloomington, IL",City,0
1712385,"Champaign, IL",City,0
1714000,"Chicago, IL*",City,1
1714351,"Cicero, IL",City,0
1718823,"Decatur, IL",City,0
1723074,"Elgin, IL",City,0
1738570,"Joliet, IL",City,0
1751622,"Naperville, IL",City,0
1759000,"Peoria, IL",City,0
1765000,"Rockford, IL",City,0
1772000,"Springfield, IL",City,0
1779293,"Waukegan, IL",City,0
1805860,"Bloomington, IN",City,0
1810342,"Carmel, IN",City,0
1822000,"Evansville, IN",City,0
1823278,"Fishers, IN",City,0
1825000,"Fort Wayne, IN*",City,1
1827000,"Gary, IN",City,0
1831000,"Hammond, IN",City,0
1836003,"Indianapolis, IN*",City,1
1871000,"South Bend, IN",City,0
1912000,"Cedar Rapids, IA",City,0
1919000,"Davenport, IA",City,0
1921000,"Des Moines, IA",City,0
1973335,"Sioux City, IA",City,0
2036000,"Kansas City, KS",City,0
2038900,"Lawrence, KS",City,0
2052575,"Olathe, KS",City,0
2053775,"Overland Park, KS*",City,1
2071000,"Topeka, KS",City,0
2079000,"Wichita, KS*",City,1
2146027,"Lexington-Fayette, KY*",City,1
2148006,"Louisville, KY*",City,1
2205000,"Baton Rouge, LA",City,0
2240735,"Lafayette, LA",City,0
2250115,"Metairie, LA",City,0
2255000,"New Orleans, LA*",City,1
2270000,"Shreveport, LA*",City,1
2404000,"Baltimore, MD*",City,1
2419125,"Columbia, MD",City,0
2432025,"Germantown, MD",City,0
2507000,"Boston, MA*",City,1
2509000,"Brockton, MA",City,0
2511000,"Cambridge, MA",City,0
2523000,"Fall River, MA",City,0
2534550,"Lawrence, MA",City,0
2537000,"Lowell, MA",City,0
2537490,"Lynn, MA",City,0
2545000,"New Bedford, MA",City,0
2545560,"Newton, MA",City,0
2555745,"Quincy, MA",City,0
2562535,"Somerville, MA",City,0
2567000,"Springfield, MA",City,0
2582000,"Worcester, MA",City,0
2603000,"Ann Arbor, MI",City,0
2621000,"Dearborn, MI",City,0
2622000,"Detroit, MI*",City,1
2627440,"Farmington Hills, MI",City,0
2629000,"Flint, MI",City,0
2634000,"Grand Rapids, MI",City,0
2646000,"Lansing, MI",City,0
2649000,"Livonia, MI",City,0
2676460,"Sterling Heights, MI",City,0
2680700,"Troy, MI",City,0
2684000,"Warren, MI",City,0
2686000,"Westland, MI",City,0
2706616,"Bloomington, MN",City,0
2707966,"Brooklyn Park, MN",City,0
2717000,"Duluth, MN",City,0
2743000,"Minneapolis, MN*",City,1
2754880,"Rochester, MN",City,0
2758000,"St. Paul, MN*",City,1
2836000,"Jackson, MS",City,0
2915670,"Columbia, MO",City,0
2935000,"Independence, MO",City,0
2938000,"Kansas City, MO*",City,1
2941348,"Lee's Summit, MO",City,0
2954074,"O'Fallon, MO",City,0
2964550,"St. Joseph, MO",City,0
2965000,"St. Louis, MO*",City,1
2970000,"Springfield, MO",City,0
3006550,"Billings, MT",City,0
3128000,"Lincoln, NE*",City,1
3137000,"Omaha, NE*",City,1
3223770,"Enterprise, NV",City,0
3231900,"Henderson, NV",City,0
3240000,"Las Vegas, NV*",City,1
3251800,"North Las Vegas, NV",City,0
3254600,"Paradise, NV*",City,1
3260600,"Reno, NV",City,0
3268400,"Sparks, NV",City,0
3268585,"Spring Valley, NV",City,0
3271400,"Sunrise Manor, NV*",City,1
3345140,"Manchester, NH",City,0
3350260,"Nashua, NH",City,0
3410000,"Camden, NJ",City,0
3413690,"Clifton, NJ",City,0
3421000,"Elizabeth, NJ",City,0
3436000,"Jersey City, NJ*",City,1
3451000,"Newark, NJ*",City,1
3457000,"Paterson, NJ",City,0
3473110,"Toms River, NJ",City,0
3474000,"Trenton, NJ",City,0
3502000,"Albuquerque, NM*",City,1
3539380,"Las Cruces, NM",City,0
3563460,"Rio Rancho, NM",City,0
3601000,"Albany, NY",City,0
3611000,"Buffalo, NY*",City,1
3615000,"Cheektowaga, NY",City,0
3650617,"New Rochelle, NY",City,0
3651000,"New York, NY*",City,1
3663000,"Rochester, NY*",City,1
3673000,"Syracuse, NY",City,0
3684000,"Yonkers, NY",City,0
3702140,"Asheville, NC",City,0
3710740,"Cary, NC",City,0
